◇ injected env (5) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
API Gateway running on port 5003
[API-GW] GET /api/rag/uploads no-auth auth: <none>
(node:27148) [DEP0060] DeprecationWarning: The `util._extend` API is deprecated. Please use Object.assign() instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
[API-GW] GET /api/chat/threads with-auth auth: Bearer eyJhb...d74jTG6c
[API-GW] POST /api/rag/upload no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /api/chat/threads with-auth auth: Bearer eyJhb...d74jTG6c
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /api/chat/threads with-auth auth: Bearer eyJhb...d74jTG6c
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /api/chat/threads with-auth auth: Bearer eyJhb...d74jTG6c
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] POST /api/rag/upload no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /api/chat/threads with-auth auth: Bearer eyJhb...d74jTG6c
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] POST /api/rag/upload no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
[API-GW] GET /rag/uploads no-auth auth: <none>
